DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,B
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Sam Billings,st Quinton de Kock b Yuzvendra Chahal,9,7,128.57,2,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Ravindra Jadeja,b Yuzvendra Chahal,3,5,60.00,0,0
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,MS Dhoni,NOT OUT,70,34,205.88,1,7
CHENNAI SUPER KINGS INNINGS (RUN RATE: 10.52),Match 24,B,,Dwayne Bravo,NOT OUT,14,7,200.00,1,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Shikhar Dhawan,b Mitchell McClenaghan,5,6,83.33,1,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Kane Williamson,c Ishan Kishan b Hardik Pandya,29,21,138.09,5,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Wriddhiman Saha,c Ishan Kishan b Mitchell McClenaghan,0,2,0.00,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Manish Pandey,c Rohit Sharma b Hardik Pandya,16,11,145.45,3,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Shakib Al Hasan,run out (Suryakumar Yadav),2,4,50.00,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Yusuf Pathan,c Hardik Pandya b Mustafizur Rahman,29,33,87.87,2,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Mohammad Nabi,b Mayank Markande,14,10,140.00,2,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Rashid Khan,c Ishan Kishan b Jasprit Bumrah,6,9,66.66,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Basil Thampi,b Mayank Markande,3,6,50.00,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Siddarth Kaul,run out (Hardik Pandya/Ishan Kishan),2,9,22.22,0,0
SUNRISERS HYDERABAD INNINGS (RUN RATE: 6.32),Match 23,B,,Sandeep Sharma,NOT OUT,0,1,0.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Suryakumar Yadav,c Rashid Khan b Basil Thampi,34,38,89.47,4,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Evin Lewis,c Manish Pandey b Sandeep Sharma,5,9,55.55,1,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Ishan Kishan,c sub (Deepak Hooda) b Mohammad Nabi,0,3,0.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Rohit Sharma,c Shikhar Dhawan b Shakib Al Hasan,2,6,33.33,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Krunal Pandya,lbw Rashid Khan,24,20,120.00,4,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Kieron Pollard,c Shikhar Dhawan b Rashid Khan,9,6,150.00,0,1
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Hardik Pandya,c Basil Thampi b Siddarth Kaul,3,19,15.78,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Mitchell McClenaghan,lbw Siddarth Kaul,0,2,0.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Mayank Markande,lbw Siddarth Kaul,1,2,50.00,0,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Jasprit Bumrah,NOT OUT,6,5,120.00,1,0
MUMBAI INDIANS INNINGS (RUN RATE: 4.61),Match 23,B,,Mustafizur Rahman,c sub (Deepak Hooda) b Basil Thampi,1,3,33.33,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Lokesh Rahul,c Avesh Khan b Liam Plunkett,23,15,153.33,3,1
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Aaron Finch,c Shreyas Iyer b Avesh Khan,2,4,50.00,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Mayank Agarwal,b Liam Plunkett,21,16,131.25,3,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Karun Nair,c Shreyas Iyer b Liam Plunkett,34,32,106.25,4,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Yuvraj Singh,c Rishabh Pant b Avesh Khan,14,17,82.35,1,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,David Miller,c Liam Plunkett b Dan Christian,26,19,136.84,1,1
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Ravichandran Ashwin,c Rahul Tewatia b Trent Boult,6,7,85.71,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Andrew Tye,b Trent Boult,3,9,33.33,0,0
KINGS XI PUNJAB INNINGS (RUN RATE: 7.15),Match 22,B,,Barinder Sran,NOT OUT,0,1,0.00,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,B
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,B,,Prithvi Shaw,b Ankit Rajpoot,22,10,220.00,4,0
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,B,,Gautam Gambhir,c Aaron Finch b Andrew Tye,4,13,30.76,0,0
DELHI DAREDEVILS INNINGS (RUN RATE: 6.95),Match 22,B,,Glenn Maxwell,c Andrew Tye b Ankit Rajpoot,12,10,120.00,1,1
