DELHI DAREDEVILS INNINGS (RUN RATE: 11.41),Match 32,W
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W, ,Billy Stanlake,4,38,0,9.50,12
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W, ,Shakib Al Hasan,4,32,0,8.00,5
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W, ,Siddarth Kaul,4,33,0,8.25,7
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W, ,Rashid Khan,4,49,1,12.25,5
CHENNAI SUPER KINGS INNINGS (RUN RATE: 9.10),Match 20,W, ,Deepak Hooda,1,8,0,8.00,1
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W, ,Deepak Chahar,4,15,3,3.75,17
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W, ,Shardul Thakur,4,45,1,11.25,9
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W, ,Shane Watson,2,23,0,11.50,2
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W, ,Ravindra Jadeja,4,28,0,7.00,6
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W, ,Karn Sharma,3,30,1,10.00,5
SUNRISERS HYDERABAD INNINGS (RUN RATE: 8.90),Match 20,W, ,Dwayne Bravo,3,37,1,12.33,5
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W, ,Umesh Yadav,4,27,1,6.75,11
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W, ,Chris Woakes,4,40,0,10.00,9
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W, ,Yuzvendra Chahal,3,22,2,7.33,10
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W, ,Mohammed Siraj,4,35,0,8.75,10
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W, ,Washington Sundar,4,31,1,7.75,6
DELHI DAREDEVILS INNINGS (RUN RATE: 8.70),Match 19,W, ,Corey Anderson,1,10,1,10.00,4
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W, ,Trent Boult,4,33,1,8.25,6
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W, ,Glenn Maxwell,2,13,1,6.50,6
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W, ,Shahbaz Nadeem,2,27,0,13.50,3
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W, ,Chris Morris,4,43,0,10.75,7
ROYAL CHALLENGERS BANGALORE INNINGS (RUN RATE: 9.77),Match 19,W, ,Harshal Patel,3,33,1,11.00,3
